well,date,Li,Be,B,Na,Mg,Al,Si,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U,NH4,F,Cl,NO2,NO3,SO4,PO4,DOC,temperature,EC,Eh,TDS,pH,d2H,d18O,d_excess,UTM_E,UTM_N
w07,2019/10,1.51,0.014,9.44,9527,4049,31.73,6125,6442,37342,0.8,1.62,0.12,0.08,542,566,0.48,0.6,6.95,21.64,0.018,0.005,0.13,1.4,21.99,335.9,0.03,0.05,0.01,0.2,0.002,0.008,0.14,0.02,0.4,233.7,0.0392,0.0761,0.0078,0.0326,0.0076,0.0019,0.0077,0.0008,0.0045,0.0009,0.0029,0.0004,0.003,0.0006,0.0019,0.01,0.002,0.0192,0.0731,0.002,0.0149,0.093,0.58,0.33,8.92,0.8,4.89,1.92,0.05,3.3,22.4,238.9,261.7,155,7.16,-11.9,-0.85,-5.1,286886,7484330
w10,2019/10,0.56,0.08,3.65,15506,6620,17.05,7894,2673,10171,0.8,0.87,0.74,0.17,46.4,2.9,0.05,0.22,0.18,1.21,0.006,0.016,0.05,1.4,7.55,139.8,0.79,0.008,0.016,0.03,0.002,0.01,0.14,0.01,0.11,294.9,1.5039,1.8576,0.2632,1.0601,0.1572,0.0363,0.1429,0.0185,0.0965,0.0209,0.0647,0.0089,0.0568,0.0099,0.002,0.01,0.0029,0.1444,0.0249,0.002,0.01,0.032,<LQ,0.15,20.4,<LQ,22.5,16,0.11,1.2,22.9,196.5,298.8,128,5.63,-31,-5.02,9.16,286858,7484397
w11,2019/10,0.58,0.09,2.43,6532,1774,18.57,10688,1668,3975,0.8,0.23,1.5,0.07,82.6,15.2,0.13,0.18,0.2,1.73,0.006,0.008,0.06,1.4,3.64,49.2,0.11,0.008,0.016,0.03,0.002,0.03,0.14,0.01,0.06,281.5,0.1595,0.3494,0.0334,0.1407,0.0262,0.0063,0.0222,0.003,0.0172,0.0034,0.0108,0.0014,0.0099,0.0016,0.002,0.01,0.002,0.1516,0.0334,0.002,0.01,0.007,<LQ,0.099,9.15,<LQ,6.02,0.75,0.14,1.4,22,80.5,277.9,52,5.84,-41.2,-6.76,12.88,286853,7484452
w12,2019/10,0.41,0.04,9.06,12651,3819,2.58,5085,4813,11511,0.8,0.43,0.28,0.11,324,47.8,1.58,0.77,0.43,27.59,0.008,0.013,0.49,1.4,13.08,174.2,0.12,0.01,0.016,0.35,0.002,0.07,0.14,0.03,0.27,335.4,0.1212,0.3592,0.0301,0.1479,0.0274,0.0066,0.0218,0.0027,0.0143,0.0035,0.0133,0.0022,0.0186,0.0038,0.002,0.01,0.002,0.1853,0.0066,0.002,0.01,0.013,1.24,0.15,15.2,<LQ,0.92,7.97,0.09,3.6,23.5,182.8,280.6,119,6.15,-14.1,-0.91,-6.82,286858,7484360
w14,2019/10,1.05,0.1,2.4,7185,2840,21.36,11992,849,2309,0.8,0.16,0.14,0.04,184,5.3,0.36,0.18,0.3,1.75,0.006,0.005,0.02,1.4,0.98,34.6,0.04,0.008,0.016,0.008,0.002,0.008,0.14,0.01,0.01,128.5,0.0757,0.1703,0.0125,0.0478,0.0079,0.0018,0.0072,0.0009,0.0055,0.0011,0.003,0.0005,0.0025,0.0004,0.002,0.01,0.002,0.0161,0.0298,0.002,0.01,0.005,<LQ,0.075,12.3,<LQ,15.7,0.16,0.13,0.55,21.5,90.2,306.7,59,6.14,-35.6,-5.49,8.32,286868,7484512
w16,2019/10,0.43,0.014,5.54,5434,5699,24.52,5097,3126,20803,0.8,0.53,0.21,0.09,462,1541.4,0.55,0.42,0.16,3.01,0.017,0.005,0.29,1.4,14.41,184.1,0.1,0.01,0.016,0.31,0.002,0.008,0.14,0.02,0.23,201.4,0.1042,0.2469,0.0248,0.1016,0.0216,0.0063,0.0192,0.0024,0.013,0.0028,0.0089,0.0013,0.0094,0.0015,0.002,0.01,0.002,0.0207,0.053,0.002,0.0115,0.033,0.37,0.18,6.06,<LQ,<LQ,0.23,0.04,3,20.7,175.2,264.4,114,6.58,-22.5,-2.78,-0.26,286900,7484389
w18,2019/10,0.6,0.014,2.26,6836,3512,1.21,6928,2428,6938,0.8,0.1,0.04,0.02,527,21.8,2.02,0.34,0.06,1.39,0.01,0.009,0.27,1.4,7.04,112.1,0.02,0.008,0.016,0.02,0.002,0.01,0.14,0.01,0.12,135.4,0.0162,0.0149,0.0018,0.0081,0.002,0.0023,0.0024,0.0006,0.0011,0.0004,0.0012,0.0004,0.0013,0.0003,0.002,0.01,0.002,0.0574,0.004,0.002,0.01,0.004,<LQ,0.12,8.98,<LQ,1.69,1.14,0.05,1.9,22.6,113.1,292.1,74,6.53,-34.5,-5.29,7.82,287294,7484704
w27,2019/10,0.66,0.02,2.91,7898,3159,3,11967,1707,10623,0.8,0.25,1.24,1.03,744,27545,1.95,0.34,0.1,2.24,0.02,0.049,0.78,1.4,6.05,109.1,0.2,0.02,0.016,0.09,0.002,0.008,0.14,0,0.11,256.6,0.0847,0.175,0.0226,0.13,0.0306,0.0079,0.0332,0.0041,0.0243,0.006,0.0209,0.0031,0.0213,0.004,0.0007,0.01,0.0031,0.0191,0.004,0.002,0.0065,0.005,1.12,0.11,11.6,<LQ,<LQ,0.33,0.45,3.3,23.2,218.1,158.8,142,6.26,-27.4,-4.13,5.64,287302,7484268
w29,2019/10,0.42,0.01,7.63,59381,4150,1.85,9480,2571,14400,0.8,1.21,0.53,0.21,2.8,6.1,0.09,0.23,0.29,0.63,0.002,0.005,0.05,1.4,3.5,119.7,0.12,0.008,0.016,0.01,0.002,0.008,0.14,0.01,0.06,267.7,0.1398,0.1212,0.0319,0.1528,0.0247,0.0083,0.0232,0.0024,0.0143,0.004,0.0165,0.0031,0.0282,0.0061,0.002,0.01,0.002,0.0315,0.004,0.002,0.01,0.013,<LQ,0.26,37.6,<LQ,42.6,32.8,0.12,1.3,20.8,383.6,286.5,249,6.84,-45.7,-7.05,10.7,287239,7484391
w31,2019/10,0.55,0.04,11.28,74381,4506,217.63,7686,9854,23647,0.8,4.69,3.97,1.93,120,1227,0.74,0.86,4.19,4.84,0.064,0.061,0.53,1.4,26.45,257.2,0.77,0.21,0.02,0.33,0.002,0.01,0.14,0.03,0.86,430.8,0.9351,2.664,0.2477,1.099,0.2145,0.0528,0.174,0.0247,0.1399,0.0296,0.0905,0.0136,0.0947,0.0154,0.0082,0.01,0.026,0.0471,0.2668,0.0036,0.1504,0.256,15.7,0.37,52.5,2.03,40.7,25.2,0.14,7.9,21.3,543,299.1,353,7.16,-38.2,-7.23,19.64,287243,7484441
w36,2019/10,0.26,0.01,2.29,19069,7407,7.3,9980,2644,15407,0.8,0.2,0.88,0.86,1090,23960,18.3,1.85,0.95,5.23,0.02,0.028,1.6,1.4,14.59,166.2,0.61,0.03,0.016,0.26,0.002,0.01,0.14,0.01,0.3,1470.2,0.8233,2.18,0.1951,0.9165,0.1601,0.0427,0.2919,0.0153,0.0808,0.0187,0.0602,0.0086,0.0607,0.0109,0.0012,0.01,0.0016,0.3384,0.3026,0.0008,0.0121,0.074,4.74,0.27,15.7,<LQ,<LQ,<LQ,0.09,3.1,22.8,310.1,224.7,202,6.37,-29.7,-5.75,16.3,287256,7484272
w37,2019/10,0.25,0.01,2.4,4354,2521,12.56,11825,1324,4127,0.8,0.23,0.7,0.05,169,116,0.51,0.3,0.11,1.01,0.009,0.013,0.21,1.4,2.18,59.6,0.03,0.008,0.016,0.05,0.002,0,0.14,0.01,0.02,106.9,0.0475,0.0941,0.0108,0.0458,0.0075,0.002,0.0057,0.0007,0.0035,0.0009,0.0026,0.0004,0.0025,0.0004,0.002,0.01,0.002,0.0549,0.0083,0.002,0.01,0.005,<LQ,0.1,4.53,<LQ,0.25,0.23,0.19,0.94,22.3,68.8,250.2,45,6.46,-38,-6.94,17.52,287046,7484630
w38,2019/10,0.44,0.05,1.65,5218,1836,6.39,5771,768,3177,0.8,0.16,0.09,0.21,11.6,4.9,0.03,0.1,0.12,1.63,0.001,0.011,0.02,1.4,2.22,29.7,0.06,0.008,0.016,0.008,0.002,0,0.14,0,0.04,160.7,0.1133,0.0505,0.0206,0.0828,0.0128,0.0038,0.0138,0.0015,0.0083,0.0017,0.0049,0.0006,0.0038,0.0005,0.002,0.01,0.002,0.0736,0.0056,0.002,0.01,0.018,<LQ,0.042,7.53,<LQ,10.6,0.6,0.17,0.7,22.8,68.9,286.3,45,6.81,-36.5,-6.4,14.7,287276,7484654
w39,2019/10,0.53,0.014,3.63,3527,1946,0.97,8847,1641,17854,0.8,0.1,0.04,0.07,102,71.9,0.07,0.15,0.1,0.39,0.002,0.005,0.12,1.4,8.75,152.4,0.01,0.01,0.016,0.03,0.002,0.008,0.14,0.01,0.2,173.7,0.012,0.014,0.002,0.01,0.0017,0.0028,0.0017,0.0006,0.002,0.0004,0.0007,0.0004,0.0009,0.0002,0.002,0.01,0.002,0.0082,0.0027,0.002,0.01,0.033,<LQ,0.11,1.17,<LQ,1.31,0.58,0.09,3.8,21.6,123.6,273.7,80,7.19,-28.3,-4.65,8.9,287126,7484241
w43,2019/10,0.24,0.02,2.4,3594,1560,1.49,8096,1423,7656,0.8,0.16,0.36,0.06,8.3,3.2,0.03,0.1,0.17,0.87,0.003,0.01,0.04,1.4,3.19,84.4,0.01,0.008,0.016,0.008,0.002,0.008,0.14,0.01,0.01,88.1,0.0246,0.043,0.0052,0.0205,0.0037,0.0021,0.0037,0.0003,0.0021,0.0005,0.0014,0.0004,0.0012,0.0002,0.002,0.01,0.002,0.0218,0.004,0.002,0.01,0.011,<LQ,0.081,6.91,<LQ,0.4,0.66,0.1,0.94,21.8,74.3,300.7,48,6.12,-32.1,-5.31,10.38,287144,7484689
w44,2019/10,0.28,0.014,3.89,6436,6269,11.34,4245,2706,29012,0.8,0.22,0.43,0.4,0.5,7.1,0.03,0.15,0.47,0.56,0.022,0.004,0.41,1.4,7.04,178.3,0.01,0.01,0.016,0.08,0.002,0.008,0.14,0.04,0.08,233,0.0134,0.0134,0.0021,0.0105,0.0032,0.0021,0.0044,0.0006,0.0014,0.0003,0.0009,0.0004,0.0011,0.0004,0.002,0.01,0.0026,0.0138,0.005,0.002,0.01,0.166,<LQ,0.16,9.81,<LQ,0.55,1.97,0.15,1.6,21.3,202.6,283.4,132,7.02,-22,-3.59,6.72,287198,7484546
w46,2019/10,0.85,0.1,2.4,12383,2174,20.99,11542,1845,3685,0.8,0.15,0.44,0.06,220,102,0.68,0.37,0.43,3.87,0.009,0.014,0.15,1.4,5.41,49,0.22,0.008,0.016,0.04,0.002,0.02,0.14,0.03,0.1,368.9,0.363,0.8108,0.0678,0.2696,0.0475,0.0147,0.0445,0.0057,0.0323,0.0065,0.0195,0.0027,0.0169,0.0026,0.002,0.01,0.002,0.1668,0.0173,0.002,0.01,0.012,<LQ,0.11,12.6,<LQ,11.2,1.76,0.15,1.1,23,106.6,288.3,69,5.71,-40.2,-6.29,10.12,286823,7484407
river,2019/10,0.37,0.014,17.63,9157,1832,45.29,5260,4257,8357,0.8,1.11,0.64,0.11,37.4,301,0.09,0.77,0.83,0.96,0.019,0.016,0.16,1.4,9.91,60.1,0.05,0.02,0.016,0.27,0.002,0.008,0.14,0.12,0.08,46.4,0.1045,0.255,0.0241,0.099,0.0163,0.0043,0.0215,0.0019,0.0086,0.0017,0.0052,0.0006,0.005,0.0007,0.0008,0.01,0.0023,0.0149,0.0958,0.001,0.011,0.015,<LQ,0.3,9.12,<LQ,<LQ,4.31,0.03,3.5,19.6,109.8,260.4,71,7.08,-29,-4.93,10.44,287035,7484680
